"country";"population";"co2.per.capita";"gni.per.capita";"life.expectancy";"hdi"
"Afghanistan";35383000;-0,719812698427022;3,2610248339924;62;0,478
"Albania";2886000;0,192529975803529;4,15017289639313;76,5;0,796
"Algeria";40551000;0,56471517496504;4,03342375548695;76,4;0,745
"Andorra";77000;0,784682117542602;4,70898995436434;80,4;0,858
"Angola";28842000;0,0728690788832607;3,73766962735664;61,6;0,586
"Antigua and Barbuda";95000;0,713357886834121;4,22510242557434;78,5;0,788
"Argentina";43508000;0,642305052696523;4,3206654666653;75,4;0,842
"Armenia";2936000;0,244809476629276;4,11918988206117;72;0,759
"Australia";24263000;1,22893113602583;4,69230040399518;84,5;0,951
"Austria";8747000;0,884941054863133;4,72931871008454;81,6;0,916
"Azerbaijan";9736000;0,58307203877475;4,1540281496032;69,4;0,745
"Bahamas";378000;0,676572653077113;4,48410044529394;71,6;0,812
"Bahrain";1426000;1,34276862747172;4,59656410998279;78,8;0,875
"Bangladesh";157976992;-0,318598177090847;3,73814608871206;72,4;0,661
"Barbados";286000;0,65253709453827;4,09011691075201;77,6;0,79
"Belarus";9446000;0,804961324007035;4,2752883144356;72,4;0,808
"Belgium";11354000;0,944012111866543;4,71844355760844;81,9;0,937
"Belize";368000;0,218055760599217;3,79996052740598;70,5;0,683
"Benin";10872000;-0,207649547189118;3,53262700122889;59,8;0,525
"Bhutan";737000;0,194361819435648;3,97487997300693;71,8;0,666
"Bosnia and Herzegovina";3386000;0,807432726229949;4,18304195729064;75,3;0,78
"Botswana";2160000;0,467155736876388;4,20946139462999;61,1;0,693
"Brazil";206163008;0,365619462774664;4,15745676813423;72,8;0,754
"Bulgaria";7152000;0,802188089937252;4,36321698715741;71,8;0,795
"Burkina Faso";18646000;-0,741540509119056;3,32592595577147;59,3;0,449
"Burundi";10488000;-1,37428895245896;2,86451108105839;61,7;0,426
"Cambodia";15766000;-0,209876572055567;3,61055370531709;69,6;0,593
"Cameroon";23927000;-0,461908202270032;3,55882852481701;60,3;0,576
"Canada";36383000;1,19040600765757;4,67032008510266;82,7;0,936
"Central African Republic";4538000;-1,1841080422317;2,98497712641549;53,9;0,404
"Chad";14562000;-1,1662717782202;3,13481437032046;52,5;0,394
"Chile";18209000;0,664788667736995;4,39028140822966;78,9;0,855
"China";1414049024;0,829653352867105;4,24313730465334;78,2;0,768
"Colombia";48175000;0,320643117237648;4,15787967438915;72,8;0,752
"Comoros";796000;-0,595561698291045;3,49720618070395;63,4;0,558
"Congo";4981000;-0,128880127315498;3,4607475418442;63,5;0,571
"Costa Rica";4899000;0,208837027410179;4,30046504554031;77;0,809
"Croatia";4209000;0,633619603405008;4,47902795876055;77,6;0,858
"Cuba";11335000;0,392736506879683;3,89647110047928;73,7;0,764
"Cyprus";1170000;0,799163755442631;4,58192691389287;81,2;0,896
"Czechia";10619000;1,00179171547629;4,588215665229;77,7;0,889
"Denmark";5711000;0,81136043013001;4,7807852049683;81,4;0,948
"Djibouti";929000;-0,368132641919954;3,70113606609253;62,3;0,509
"Dominica";71000;0,404014156384231;4,06024442689823;72,8;0,72
"Dominican Republic";10398000;0,374496965639695;4,25503116334555;72,6;0,767
"Ecuador";16491000;0,379405074447046;4,01334290434535;73,7;0,74
"Egypt";94447000;0,393128475205535;4,06937205430851;70,2;0,731
"El Salvador";6356000;0,0188533595372435;3,91886874338098;70,7;0,675
"Equatorial Guinea";1215000;0,708305467451066;4,08185117151745;60,6;0,596
"Eritrea";3377000;-0,708987125093543;3,23779499327392;66,5;0,492
